instant,data,season,ano,mes,hora,feriado,dia_semana,dia_util,clima,temperatura_normalizada,sensacao_termica_normalizada,umidade_normalizada,vento_normalizado,usuarios_casuais,usuarios_registrados,total_locacoes,periodo_dia,nivel_demanda,descricao_clima,descricao_estacao
4433,2011-07-08,3,0,7,14,False,5,True,2,0.8,0.7879,0.63,0.3582,53,163,216,TARDE,MEDIA,NEVOA_NUBLADO,OUTONO
4434,2011-07-08,3,0,7,15,False,5,True,2,0.8,0.7879,0.63,0.3582,39,102,141,TARDE,MEDIA,NEVOA_NUBLADO,OUTONO
4435,2011-07-08,3,0,7,16,False,5,True,3,0.68,0.6364,0.83,0.4478,27,105,132,TARDE,MEDIA,CHUVA_NEVE_LEVE,OUTONO
4436,2011-07-08,3,0,7,17,False,5,True,3,0.66,0.5909,0.89,0.4478,6,161,167,TARDE,MEDIA,CHUVA_NEVE_LEVE,OUTONO
4437,2011-07-08,3,0,7,18,False,5,True,1,0.66,0.6061,0.83,0.0896,35,281,316,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4438,2011-07-08,3,0,7,19,False,5,True,1,0.66,0.6061,0.83,0.0896,45,225,270,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4439,2011-07-08,3,0,7,20,False,5,True,1,0.66,0.6061,0.83,0.1642,30,220,250,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4440,2011-07-08,3,0,7,21,False,5,True,2,0.66,0.6061,0.83,0.2537,46,158,204,NOITE,MEDIA,NEVOA_NUBLADO,OUTONO
4441,2011-07-08,3,0,7,22,False,5,True,2,0.66,0.6061,0.78,0.194,33,136,169,NOITE,MEDIA,NEVOA_NUBLADO,OUTONO
4442,2011-07-08,3,0,7,23,False,5,True,2,0.66,0.6061,0.78,0.0896,40,111,151,NOITE,MEDIA,NEVOA_NUBLADO,OUTONO
4443,2011-07-09,3,0,7,0,False,6,False,2,0.66,0.6061,0.83,0.1343,31,90,121,MADRUGADA,MEDIA,NEVOA_NUBLADO,OUTONO
4444,2011-07-09,3,0,7,1,False,6,False,2,0.64,0.5758,0.89,0.1045,5,48,53,MADRUGADA,BAIXA,NEVOA_NUBLADO,OUTONO
4445,2011-07-09,3,0,7,2,False,6,False,1,0.64,0.5758,0.89,0.1642,12,43,55,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4446,2011-07-09,3,0,7,3,False,6,False,1,0.64,0.5758,0.89,0.1343,7,23,30,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4447,2011-07-09,3,0,7,4,False,6,False,1,0.64,0.5758,0.83,0.2239,2,4,6,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4448,2011-07-09,3,0,7,5,False,6,False,2,0.62,0.5606,0.88,0.1642,4,11,15,MADRUGADA,BAIXA,NEVOA_NUBLADO,OUTONO
4449,2011-07-09,3,0,7,6,False,6,False,2,0.64,0.5758,0.83,0.194,11,27,38,MANHA,BAIXA,NEVOA_NUBLADO,OUTONO
4450,2011-07-09,3,0,7,7,False,6,False,1,0.66,0.6061,0.78,0.194,21,50,71,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4451,2011-07-09,3,0,7,8,False,6,False,1,0.7,0.6515,0.7,0.2537,68,114,182,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4452,2011-07-09,3,0,7,9,False,6,False,1,0.74,0.6818,0.58,0.2836,77,170,247,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4453,2011-07-09,3,0,7,10,False,6,False,1,0.76,0.697,0.52,0.1642,87,177,264,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4454,2011-07-09,3,0,7,11,False,6,False,1,0.78,0.697,0.46,0.2985,101,189,290,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4455,2011-07-09,3,0,7,12,False,6,False,1,0.8,0.7273,0.46,0.2537,145,221,366,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4456,2011-07-09,3,0,7,13,False,6,False,1,0.82,0.7424,0.41,0.2239,167,249,416,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4457,2011-07-09,3,0,7,14,False,6,False,1,0.84,0.7424,0.36,0.1343,158,215,373,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4458,2011-07-09,3,0,7,15,False,6,False,1,0.84,0.7273,0.34,0.0896,182,220,402,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4459,2011-07-09,3,0,7,16,False,6,False,1,0.82,0.7273,0.38,0.0,171,245,416,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4460,2011-07-09,3,0,7,17,False,6,False,1,0.84,0.7273,0.32,0.0,160,241,401,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4461,2011-07-09,3,0,7,18,False,6,False,1,0.82,0.7273,0.36,0.1045,132,246,378,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4462,2011-07-09,3,0,7,19,False,6,False,1,0.76,0.697,0.55,0.1642,128,178,306,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4463,2011-07-09,3,0,7,20,False,6,False,1,0.76,0.7121,0.58,0.2239,129,185,314,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4464,2011-07-09,3,0,7,21,False,6,False,1,0.74,0.6818,0.58,0.1642,83,155,238,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4465,2011-07-09,3,0,7,22,False,6,False,1,0.72,0.6818,0.62,0.1642,60,154,214,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4466,2011-07-09,3,0,7,23,False,6,False,1,0.72,0.6667,0.58,0.194,47,93,140,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4467,2011-07-10,3,0,7,0,False,0,False,1,0.7,0.6515,0.61,0.1642,42,112,154,MADRUGADA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4468,2011-07-10,3,0,7,1,False,0,False,1,0.7,0.6515,0.61,0.1343,19,94,113,MADRUGADA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4469,2011-07-10,3,0,7,2,False,0,False,1,0.68,0.6364,0.69,0.0896,28,68,96,MADRUGADA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4470,2011-07-10,3,0,7,3,False,0,False,1,0.66,0.6212,0.74,0.0896,6,19,25,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4471,2011-07-10,3,0,7,4,False,0,False,1,0.66,0.6212,0.69,0.0896,0,5,5,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4472,2011-07-10,3,0,7,5,False,0,False,1,0.66,0.6212,0.74,0.0,7,10,17,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4473,2011-07-10,3,0,7,6,False,0,False,1,0.64,0.5909,0.78,0.0896,8,17,25,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4474,2011-07-10,3,0,7,7,False,0,False,1,0.7,0.6515,0.7,0.0896,27,38,65,MANHA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4475,2011-07-10,3,0,7,8,False,0,False,1,0.72,0.6818,0.66,0.0,27,65,92,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4476,2011-07-10,3,0,7,9,False,0,False,1,0.74,0.697,0.66,0.0896,62,107,169,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4477,2011-07-10,3,0,7,10,False,0,False,1,0.76,0.697,0.55,0.1343,95,173,268,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4478,2011-07-10,3,0,7,11,False,0,False,1,0.78,0.7273,0.55,0.194,110,177,287,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4479,2011-07-10,3,0,7,12,False,0,False,1,0.82,0.7576,0.46,0.2836,133,244,377,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4480,2011-07-10,3,0,7,13,False,0,False,1,0.8,0.7273,0.46,0.2985,139,228,367,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4481,2011-07-10,3,0,7,14,False,0,False,1,0.82,0.7424,0.41,0.3284,122,227,349,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4482,2011-07-10,3,0,7,15,False,0,False,1,0.84,0.7424,0.39,0.2836,142,219,361,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4483,2011-07-10,3,0,7,16,False,0,False,1,0.84,0.7576,0.41,0.2836,128,244,372,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4484,2011-07-10,3,0,7,17,False,0,False,1,0.84,0.7424,0.36,0.2239,146,217,363,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4485,2011-07-10,3,0,7,18,False,0,False,1,0.82,0.7424,0.43,0.2836,141,222,363,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4486,2011-07-10,3,0,7,19,False,0,False,1,0.8,0.7424,0.49,0.3284,120,183,303,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4487,2011-07-10,3,0,7,20,False,0,False,1,0.76,0.697,0.55,0.194,101,167,268,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4488,2011-07-10,3,0,7,21,False,0,False,1,0.74,0.6818,0.62,0.2537,65,162,227,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4489,2011-07-10,3,0,7,22,False,0,False,1,0.74,0.697,0.66,0.2239,56,87,143,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4490,2011-07-10,3,0,7,23,False,0,False,1,0.72,0.6818,0.66,0.2537,19,53,72,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4491,2011-07-11,3,0,7,0,False,1,True,1,0.7,0.6515,0.65,0.194,10,25,35,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4492,2011-07-11,3,0,7,1,False,1,True,1,0.7,0.6515,0.61,0.2836,5,5,10,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4493,2011-07-11,3,0,7,2,False,1,True,1,0.7,0.6515,0.61,0.2239,8,4,12,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4494,2011-07-11,3,0,7,3,False,1,True,1,0.68,0.6364,0.65,0.1642,2,8,10,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4495,2011-07-11,3,0,7,4,False,1,True,1,0.66,0.6212,0.74,0.2239,0,4,4,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4496,2011-07-11,3,0,7,5,False,1,True,1,0.66,0.6212,0.74,0.1343,5,21,26,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4497,2011-07-11,3,0,7,6,False,1,True,1,0.68,0.6364,0.74,0.194,19,102,121,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4498,2011-07-11,3,0,7,7,False,1,True,1,0.7,0.6667,0.74,0.2537,28,289,317,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4499,2011-07-11,3,0,7,8,False,1,True,1,0.74,0.697,0.66,0.2836,35,385,420,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4500,2011-07-11,3,0,7,9,False,1,True,1,0.78,0.7424,0.59,0.2985,41,167,208,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4501,2011-07-11,3,0,7,10,False,1,True,1,0.8,0.7576,0.55,0.3582,44,73,117,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4502,2011-07-11,3,0,7,11,False,1,True,1,0.82,0.7879,0.56,0.2985,39,89,128,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4503,2011-07-11,3,0,7,12,False,1,True,1,0.84,0.803,0.53,0.2836,40,108,148,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4504,2011-07-11,3,0,7,13,False,1,True,1,0.86,0.8182,0.5,0.2537,22,119,141,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4505,2011-07-11,3,0,7,14,False,1,True,1,0.86,0.8333,0.53,0.2836,40,94,134,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4506,2011-07-11,3,0,7,15,False,1,True,1,0.86,0.8485,0.56,0.4179,38,108,146,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4507,2011-07-11,3,0,7,16,False,1,True,1,0.86,0.8485,0.56,0.3881,57,182,239,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4508,2011-07-11,3,0,7,17,False,1,True,1,0.86,0.8485,0.56,0.4179,59,455,514,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4509,2011-07-11,3,0,7,18,False,1,True,1,0.86,0.8333,0.53,0.3881,57,415,472,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4510,2011-07-11,3,0,7,19,False,1,True,1,0.84,0.8333,0.59,0.3284,80,293,373,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4511,2011-07-11,3,0,7,20,False,1,True,1,0.72,0.697,0.74,0.4179,42,194,236,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4512,2011-07-11,3,0,7,21,False,1,True,1,0.7,0.6667,0.79,0.4179,21,109,130,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4513,2011-07-11,3,0,7,22,False,1,True,1,0.72,0.697,0.74,0.1343,20,70,90,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4514,2011-07-11,3,0,7,23,False,1,True,1,0.7,0.6667,0.79,0.1343,11,44,55,NOITE,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4515,2011-07-12,3,0,7,0,False,2,True,1,0.7,0.6667,0.79,0.1343,3,19,22,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4516,2011-07-12,3,0,7,1,False,2,True,1,0.7,0.6667,0.79,0.0896,6,8,14,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4517,2011-07-12,3,0,7,2,False,2,True,1,0.7,0.6667,0.79,0.1045,2,7,9,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4518,2011-07-12,3,0,7,3,False,2,True,2,0.7,0.6667,0.79,0.0,2,6,8,MADRUGADA,BAIXA,NEVOA_NUBLADO,OUTONO
4519,2011-07-12,3,0,7,4,False,2,True,1,0.7,0.6667,0.79,0.1642,0,6,6,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4520,2011-07-12,3,0,7,5,False,2,True,1,0.7,0.6667,0.79,0.0896,4,21,25,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4521,2011-07-12,3,0,7,6,False,2,True,1,0.74,0.6818,0.58,0.2239,13,102,115,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4522,2011-07-12,3,0,7,7,False,2,True,1,0.76,0.697,0.55,0.194,29,301,330,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4523,2011-07-12,3,0,7,8,False,2,True,1,0.76,0.7121,0.58,0.2239,35,382,417,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4524,2011-07-12,3,0,7,9,False,2,True,1,0.78,0.7273,0.55,0.4925,27,149,176,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4525,2011-07-12,3,0,7,10,False,2,True,1,0.82,0.7727,0.52,0.1642,38,85,123,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4526,2011-07-12,3,0,7,11,False,2,True,1,0.82,0.7727,0.52,0.1642,39,86,125,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4527,2011-07-12,3,0,7,12,False,2,True,1,0.86,0.7879,0.44,0.2985,38,125,163,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4528,2011-07-12,3,0,7,13,False,2,True,1,0.86,0.803,0.47,0.2239,32,104,136,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4529,2011-07-12,3,0,7,14,False,2,True,1,0.9,0.8485,0.42,0.2985,33,91,124,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4530,2011-07-12,3,0,7,15,False,2,True,1,0.9,0.8485,0.42,0.3582,37,111,148,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4531,2011-07-12,3,0,7,16,False,2,True,1,0.86,0.7879,0.44,0.2836,25,177,202,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4532,2011-07-12,3,0,7,17,False,2,True,1,0.88,0.8182,0.44,0.2836,48,380,428,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4533,2011-07-12,3,0,7,18,False,2,True,1,0.86,0.803,0.47,0.2985,39,472,511,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4534,2011-07-12,3,0,7,19,False,2,True,1,0.84,0.7576,0.44,0.2836,42,295,337,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4535,2011-07-12,3,0,7,20,False,2,True,1,0.82,0.7424,0.43,0.194,57,251,308,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4536,2011-07-12,3,0,7,21,False,2,True,1,0.82,0.7424,0.43,0.1045,49,209,258,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4537,2011-07-12,3,0,7,22,False,2,True,1,0.8,0.7273,0.46,0.1343,44,150,194,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4538,2011-07-12,3,0,7,23,False,2,True,1,0.78,0.7121,0.52,0.0,20,59,79,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4539,2011-07-13,3,0,7,0,False,3,True,1,0.76,0.7121,0.62,0.0,9,37,46,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4540,2011-07-13,3,0,7,1,False,3,True,1,0.76,0.697,0.55,0.0,1,11,12,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4541,2011-07-13,3,0,7,2,False,3,True,1,0.76,0.697,0.55,0.0,2,3,5,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4542,2011-07-13,3,0,7,3,False,3,True,1,0.74,0.6818,0.58,0.194,0,4,4,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4543,2011-07-13,3,0,7,4,False,3,True,1,0.74,0.6818,0.58,0.2537,0,5,5,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4544,2011-07-13,3,0,7,5,False,3,True,1,0.74,0.6818,0.58,0.194,4,22,26,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4545,2011-07-13,3,0,7,6,False,3,True,1,0.74,0.6818,0.58,0.1642,18,103,121,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4546,2011-07-13,3,0,7,7,False,3,True,1,0.76,0.697,0.55,0.2537,32,281,313,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4547,2011-07-13,3,0,7,8,False,3,True,1,0.8,0.7424,0.49,0.2537,31,418,449,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4548,2011-07-13,3,0,7,9,False,3,True,1,0.82,0.7424,0.41,0.194,23,163,186,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4549,2011-07-13,3,0,7,10,False,3,True,1,0.82,0.7576,0.46,0.194,33,80,113,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4550,2011-07-13,3,0,7,11,False,3,True,1,0.84,0.7424,0.39,0.1642,55,110,165,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4551,2011-07-13,3,0,7,12,False,3,True,1,0.84,0.7576,0.41,0.2836,40,134,174,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4552,2011-07-13,3,0,7,13,False,3,True,3,0.82,0.7576,0.46,0.1343,39,119,158,TARDE,MEDIA,CHUVA_NEVE_LEVE,OUTONO
4553,2011-07-13,3,0,7,14,False,3,True,3,0.82,0.7576,0.46,0.1343,27,89,116,TARDE,MEDIA,CHUVA_NEVE_LEVE,OUTONO
4554,2011-07-13,3,0,7,15,False,3,True,3,0.64,0.5606,0.94,0.1343,13,33,46,TARDE,BAIXA,CHUVA_NEVE_LEVE,OUTONO
4555,2011-07-13,3,0,7,16,False,3,True,2,0.66,0.5909,0.89,0.0,23,118,141,TARDE,MEDIA,NEVOA_NUBLADO,OUTONO
4556,2011-07-13,3,0,7,17,False,3,True,1,0.7,0.6667,0.79,0.0,70,418,488,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4557,2011-07-13,3,0,7,18,False,3,True,1,0.72,0.697,0.79,0.1343,51,412,463,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4558,2011-07-13,3,0,7,19,False,3,True,1,0.7,0.6667,0.79,0.1045,79,340,419,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4559,2011-07-13,3,0,7,20,False,3,True,1,0.7,0.6667,0.84,0.1642,61,281,342,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4560,2011-07-13,3,0,7,21,False,3,True,1,0.7,0.6667,0.79,0.1045,56,194,250,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4561,2011-07-13,3,0,7,22,False,3,True,1,0.68,0.6364,0.83,0.194,48,136,184,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4562,2011-07-13,3,0,7,23,False,3,True,1,0.66,0.6061,0.83,0.2537,33,83,116,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4563,2011-07-14,3,0,7,0,False,4,True,1,0.66,0.6212,0.69,0.2985,14,32,46,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4564,2011-07-14,3,0,7,1,False,4,True,1,0.66,0.6212,0.61,0.2537,4,21,25,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4565,2011-07-14,3,0,7,2,False,4,True,1,0.64,0.6212,0.57,0.2985,3,7,10,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4566,2011-07-14,3,0,7,3,False,4,True,1,0.62,0.6212,0.57,0.2985,1,5,6,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4567,2011-07-14,3,0,7,4,False,4,True,1,0.62,0.6212,0.53,0.2537,0,6,6,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4568,2011-07-14,3,0,7,5,False,4,True,1,0.6,0.6212,0.56,0.2239,6,22,28,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4569,2011-07-14,3,0,7,6,False,4,True,1,0.6,0.6061,0.6,0.2239,14,116,130,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4570,2011-07-14,3,0,7,7,False,4,True,1,0.62,0.6212,0.53,0.2537,23,311,334,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4571,2011-07-14,3,0,7,8,False,4,True,1,0.64,0.6212,0.5,0.3582,53,433,486,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4572,2011-07-14,3,0,7,9,False,4,True,1,0.68,0.6364,0.47,0.2836,29,195,224,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4573,2011-07-14,3,0,7,10,False,4,True,1,0.7,0.6364,0.42,0.2537,32,95,127,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4574,2011-07-14,3,0,7,11,False,4,True,1,0.72,0.6515,0.37,0.2239,38,110,148,MANHA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4575,2011-07-14,3,0,7,12,False,4,True,1,0.74,0.6515,0.35,0.2537,51,172,223,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4576,2011-07-14,3,0,7,13,False,4,True,1,0.76,0.6667,0.33,0.3284,39,138,177,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4577,2011-07-14,3,0,7,14,False,4,True,1,0.74,0.6515,0.35,0.2836,49,129,178,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4578,2011-07-14,3,0,7,15,False,4,True,1,0.76,0.6667,0.33,0.2985,42,138,180,TARDE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4579,2011-07-14,3,0,7,16,False,4,True,1,0.76,0.6667,0.33,0.1343,43,231,274,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4580,2011-07-14,3,0,7,17,False,4,True,1,0.74,0.6515,0.37,0.1343,78,517,595,TARDE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4581,2011-07-14,3,0,7,18,False,4,True,1,0.72,0.6515,0.42,0.194,94,484,578,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4582,2011-07-14,3,0,7,19,False,4,True,1,0.72,0.6515,0.39,0.2239,67,333,400,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4583,2011-07-14,3,0,7,20,False,4,True,1,0.7,0.6364,0.42,0.2239,81,267,348,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4584,2011-07-14,3,0,7,21,False,4,True,1,0.66,0.6212,0.5,0.1343,58,203,261,NOITE,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4585,2011-07-14,3,0,7,22,False,4,True,1,0.64,0.6212,0.57,0.0896,42,134,176,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4586,2011-07-14,3,0,7,23,False,4,True,1,0.64,0.6061,0.65,0.2537,27,97,124,NOITE,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4587,2011-07-15,3,0,7,0,False,5,True,1,0.62,0.5909,0.73,0.2239,23,57,80,MADRUGADA,MEDIA,LIMPO_POUCAS_NUVENS,OUTONO
4588,2011-07-15,3,0,7,1,False,5,True,1,0.62,0.5909,0.73,0.194,7,13,20,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4589,2011-07-15,3,0,7,2,False,5,True,1,0.6,0.5758,0.78,0.1642,16,22,38,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4590,2011-07-15,3,0,7,3,False,5,True,1,0.6,0.5909,0.73,0.194,1,6,7,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4591,2011-07-15,3,0,7,4,False,5,True,1,0.6,0.5909,0.73,0.1642,2,8,10,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4592,2011-07-15,3,0,7,5,False,5,True,1,0.6,0.5909,0.73,0.1343,7,16,23,MADRUGADA,BAIXA,LIMPO_POUCAS_NUVENS,OUTONO
4593,2011-07-15,3,0,7,6,False,5,True,2,0.6,0.5909,0.73,0.1045,12,108,120,MANHA,MEDIA,NEVOA_NUBLADO,OUTONO
4594,2011-07-15,3,0,7,7,False,5,True,1,0.64,0.6061,0.65,0.1045,17,257,274,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
4595,2011-07-15,3,0,7,8,False,5,True,1,0.64,0.6061,0.65,0.2537,50,514,564,MANHA,ALTA,LIMPO_POUCAS_NUVENS,OUTONO
